id,Kanji,Strokes,Grade,JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo"
1348,男,7,1,5,"Ta, Tahen",ダン、ナン、おとこ,
1349,段,9,6,3,Rumata,ダン,タン
1350,断,11,5,3,"Kin, Onozukuri",ダン、た-つ、ことわ-る,
1351,弾,12,7,1,"Yumi, Yumihen",ダン、ひ-く、はず-む、たま,はじ
1352,暖,13,6,1,"Nichi, Nichihen",ダン、あたた-か、あたた-かい、あたた-まる、あたた-める,ノン
1353,談,15,3,3,"Gon, Gonben",ダン,
1354,壇,16,7,1,"Tsuchi, Tsuchihen",ダン、[タン],
1355,地,6,2,4,"Tsuchi, Tsuchihen",チ、ジ,
1356,池,6,2,3,"Mizu, Sanzui, Shitamizu",チ、いけ,
1357,知,8,2,4,"Ya, Yahen",チ、し-る,
1358,値,10,6,3,"Hito, Ninben, Hitoyane",チ、ね、あたい,ジ
1359,恥,10,7,3,"Kokoro, Risshinben, Shitagokoro",チ、は-じる、はじ、は-じらう、は-ずかしい,
1360,致,10,7,1,Itaru,チ、いた-す,
1361,遅,12,7,3,Shinnyoo,チ、おく-れる、おく-らす、おそ-い,
1362,痴,13,7,1,Yamaidare,チ,
1363,稚,13,7,1,"Nogi, Nogihen",チ,いと、わか
1364,置,13,4,3,Amigashira,チ、お-く,
1365,緻,16,7,0,"Ito, Itohen",チ,
1366,竹,6,1,2,"Take, Takekanmuri",チク、たけ,
1367,畜,10,7,2,"Ta, Tahen",チク,
1368,逐,10,7,1,Shinnyoo,チク,お
1369,蓄,13,7,1,Kusakanmuri,チク、たくわ-える,
1370,築,16,5,2,"Take, Takekanmuri",チク、きず-く,
1371,秩,10,7,1,"Nogi, Nogihen",チツ,
1372,窒,11,7,1,"Ana, Anakanmuri",チツ,
1373,茶,9,2,4,Kusakanmuri,チャ、サ,タ
1374,着,12,3,4,Hitsuji,チャク、[ジャク]、き-る、き-せる、つ-く、つ-ける,
1375,嫡,14,7,1,"Onna, Onnahen",チャク,
1376,中,4,1,5,Boo,チュウ、[ジュウ]、なか,うち、あ
1377,仲,6,4,2,"Hito, Ninben, Hitoyane",チュウ、なか,
1378,虫,6,1,2,"Mushi, Mushihen",チュウ、むし,
1379,沖,7,7,1,"Mizu, Sanzui, Shitamizu",チュウ、おき,
1380,宙,8,6,1,Ukanmuri,チュウ,
1381,忠,8,6,1,"Kokoro, Risshinben, Shitagokoro",チュウ,
1382,抽,8,7,1,Tehen,チュウ,ひ
1383,注,8,3,4,"Mizu, Sanzui, Shitamizu",チュウ、そそ-ぐ,つ
1384,昼,9,2,4,"Nichi, Nichihen",チュウ、ひる,
1385,柱,9,3,2,"Ki, Kihen",チュウ、はしら,
1386,衷,10,7,1,"Koromo, Koromohen",チュウ,
1387,酎,10,7,0,"Tori, Torihen",チュウ,
1388,鋳,15,7,1,"Kane, Kanehen",チュウ、い-る,ス
1389,駐,15,7,2,"Uma, Umahen",チュウ,
1390,著,11,6,2,Kusakanmuri,チョ、あらわ-す、いちじる-しい,
1391,貯,12,4,2,"Kai, Kaihen",チョ,たくわ
1392,丁,2,3,1,Ichi,チョウ、テイ,ひのと
1393,弔,4,7,1,"Yumi, Yumihen",チョウ、とむら-う,
1394,庁,5,6,2,Madare,チョウ,
1395,兆,6,4,2,Hitoashi,チョウ、きざ-す、きざ-し,
1396,町,7,1,4,"Ta, Tahen",チョウ、まち,
1397,長,8,2,5,Nagai,チョウ、なが-い,たけ、おさ、まさ、た
1398,挑,9,7,1,Tehen,チョウ、いど-む,
1399,帳,11,3,1,"Haba, Kinben",チョウ,とばり
1400,張,11,5,2,"Yumi, Yumihen",チョウ、は-る,
1401,彫,11,7,1,Sanzukuri,チョウ、ほ-る,え
1402,眺,11,7,1,"Me, Mehen",チョウ、なが-める,
1403,釣,11,7,1,"Kane, Kanehen",チョウ、つ-る,
1404,頂,11,6,3,Oogai,チョウ、いただ-く、いただき,
1405,鳥,11,2,4,Tori,チョウ、とり,
1406,朝,12,2,4,"Tsuki, Tsukihen",チョウ、あさ,
1407,貼,12,7,0,"Kai, Kaihen",チョウ、は-る,
1408,超,12,7,2,"Hashiru, Soonyoo",チョウ、こ-える、こ-す,
1409,腸,13,4,1,"Niku, Nikuzuki",チョウ,はらわた
1410,跳,13,7,1,"Ashi, Ashihen",チョウ、は-ねる、と-ぶ,
1411,徴,14,7,1,Gyooninben,チョウ,
1412,嘲,15,7,0,"Kuchi, Kuchihen",チョウ、あざけ-る,
1413,潮,15,6,1,"Mizu, Sanzui, Shitamizu",チョウ、しお,うしお
1414,澄,15,7,1,"Mizu, Sanzui, Shitamizu",チョウ、す-む、す-ます,
1415,調,15,3,3,"Gon, Gonben",チョウ、しら-べる、ととの-う、ととの-える,つき
1416,聴,17,7,1,"Mimi, Mimihen",チョウ、き-く,
1417,懲,18,7,1,"Kokoro, Risshinben, Shitagokoro",チョウ、こ-りる、こ-らす、こ-らしめる,
1418,直,8,2,3,"Me, Mehen",チョク、ジキ、ただ-ちに、なお-す、なお-る,た、だ
1419,勅,9,7,1,Chikara,チョク,みことのり
1420,捗,10,7,0,Tehen,チョク,はかど
1421,沈,7,7,2,"Mizu, Sanzui, Shitamizu",チン、しず-む、しず-める,ジン
1422,珍,9,7,2,"Tama, Oo",チン、めずら-しい,
1423,朕,10,7,1,"Tsuki, Tsukihen",チン,
1424,陳,11,7,1,Kozatohen,チン,ジン、の
1425,賃,13,6,2,"Kai, Kaihen",チン,
1426,鎮,18,7,1,"Kane, Kanehen",チン、しず-める、しず-まる,
1427,追,9,3,3,Shinnyoo,ツイ、お-う,
1428,椎,12,7,1,"Ki, Kihen",ツイ,しい
1429,墜,15,7,1,"Tsuchi, Tsuchihen",ツイ,お
1430,通,10,2,4,Shinnyoo,ツウ、[ツ]、とお-る、とお-す、かよ-う,ドウ
1431,痛,12,6,3,Yamaidare,ツウ、いた-い、いた-む、いた-める,
1432,塚,12,7,1,"Tsuchi, Tsuchihen",つか,
1433,漬,14,7,1,"Mizu, Sanzui, Shitamizu",つ-ける、つ-かる,
1434,坪,8,7,1,"Tsuchi, Tsuchihen",つぼ,
1435,爪,4,7,0,Tsumekanmuri,つめ、[つま],が
1436,鶴,21,7,1,Tori,つる,カク
1437,低,7,4,3,"Hito, Ninben, Hitoyane",テイ、ひく-い、ひく-める、ひく-まる,
1438,呈,7,7,1,"Kuchi, Kuchihen",テイ,
1439,廷,7,7,1,Ennyoo,テイ,
1440,弟,7,2,4,"Yumi, Yumihen",テイ、[ダイ]、[デ]、おとうと,
1441,定,8,3,3,Ukanmuri,テイ、ジョウ、さだ-める、さだ-まる、さだ-か,
1442,底,8,4,2,Madare,テイ、そこ,
1443,抵,8,7,1,Tehen,テイ,
1444,邸,8,7,1,Oozato,テイ,やしき
1445,亭,9,7,1,Nabebuta,テイ,チン
1446,貞,9,7,1,"Kai, Kaihen",テイ,ジョウ
1447,帝,9,7,1,"Haba, Kinben",テイ,タイ、みかど
1448,訂,9,7,1,"Gon, Gonben",テイ,
1449,庭,10,3,3,Madare,テイ、にわ,
1450,逓,10,7,1,Shinnyoo,テイ,
1451,停,11,4,2,"Hito, Ninben, Hitoyane",テイ,
1452,偵,11,7,1,"Hito, Ninben, Hitoyane",テイ,
1453,堤,12,7,1,"Tsuchi, Tsuchihen",テイ、つつみ,
1454,提,12,5,1,Tehen,テイ、さ-げる,ダイ、ひっさ、ひ
1455,程,12,5,3,"Nogi, Nogihen",テイ、ほど,
1456,艇,13,7,1,"Fune, Funehen",テイ,
1457,締,15,7,1,"Ito, Itohen",テイ、し-まる、し-める,
1458,諦,16,7,0,"Gon, Gonben",テイ、あきら-める,タイ
1459,泥,8,7,2,"Mizu, Sanzui, Shitamizu",デイ、どろ,なず
1460,的,8,4,4,Shiro,テキ、まと,
1461,笛,11,3,1,"Take, Takekanmuri",テキ、ふえ,
1462,摘,14,7,1,Tehen,テキ、つ-む,
1463,滴,14,7,2,"Mizu, Sanzui, Shitamizu",テキ、しずく、したた-る,
1464,適,14,5,3,Shinnyoo,テキ,かな
1465,敵,15,5,1,Nobun,テキ、かたき,
1466,溺,13,7,0,"Mizu, Sanzui, Shitamizu",デキ、おぼ-れる,
1467,迭,8,7,1,Shinnyoo,テツ,
1468,哲,10,7,1,"Kuchi, Kuchihen",テツ,あき
1469,鉄,13,3,2,"Kane, Kanehen",テツ,くろがね
1470,徹,15,7,1,Gyooninben,テツ,とお
1471,撤,15,7,1,Tehen,テツ,
1472,天,4,1,5,Dai,テン、あめ、[あま],
1473,典,8,4,1,Hachi,テン,のり、つね
1474,店,8,2,4,Madare,テン、みせ,たな、だな
1475,点,9,2,3,"Hi, Hihen, Renga",テン,
1476,展,10,6,2,Shikabane,テン,の
1477,添,11,7,1,"Mizu, Sanzui, Shitamizu",テン、そ-える、そ-う,
1478,転,11,3,4,"Kuruma, Kurumahen",テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ,うた
1479,填,13,7,0,"Tsuchi, Tsuchihen",テン,
1480,田,5,1,4,"Ta, Tahen",デン、た,かり、がり
1481,伝,6,4,3,"Hito, Ninben, Hitoyane",デン、つた-わる、つた-える、つた-う,テン
1482,殿,13,7,2,Rumata,デン、テン、との、どの,しんがり
1483,電,13,2,5,"Ame, Amekanmuri",デン,
1484,斗,4,7,1,Tomasu,ト,
1485,吐,6,7,1,"Kuchi, Kuchihen",ト、は-く,
1486,妬,8,7,0,"Onna, Onnahen",ト、ねた-む,
1487,徒,10,4,3,Gyooninben,ト,いたず、かち
1488,途,10,7,3,Shinnyoo,ト,ズ
1489,都,11,3,3,Oozato,ト、ツ、みやこ,す、ず
1490,渡,12,7,3,"Mizu, Sanzui, Shitamizu",ト、わた-る、わた-す,
1491,塗,13,7,2,"Tsuchi, Tsuchihen",ト、ぬ-る,まみ
1492,賭,16,7,0,"Kai, Kaihen",ト、か-ける,
1493,土,3,1,5,"Tsuchi, Tsuchihen",ド、ト、つち,ツ
1494,奴,5,7,1,"Onna, Onnahen",ド,ヌ、やっこ、やつ
1495,努,7,4,3,Chikara,ド、つと-める,
1496,度,9,3,4,Madare,ド、[ト]、[タク]、たび,わた、た
1497,怒,9,7,3,"Kokoro, Risshinben, Shitagokoro",ド、いか-る、おこ-る,ヌ
1498,刀,2,2,1,"Katana, Rittoo",トウ、かたな,ト
1499,冬,5,2,4,Suinyoo,トウ、ふゆ,
1500,灯,6,4,2,"Hi, Hihen, Renga",トウ、ひ,ドン、ともしび、あかし
1501,当,6,2,3,Shoo,トウ、あ-たる、あ-てる,
1502,投,7,3,3,Tehen,トウ、な-げる,
1503,豆,7,3,1,Mame,トウ、[ズ]、まめ,
1504,東,8,2,5,"Ki, Kihen",トウ、ひがし,あずま
1505,到,8,7,3,"Katana, Rittoo",トウ,いた
1506,逃,9,7,3,Shinnyoo,トウ、に-げる、に-がす、のが-す、のが-れる,
1507,倒,10,7,3,"Hito, Ninben, Hitoyane",トウ、たお-れる、たお-す,
1508,凍,10,7,2,Nisui,トウ、こお-る、こご-える,
1509,唐,10,7,0,"Kuchi, Kuchihen",トウ、から,
1510,島,10,3,2,"Yama, Yamahen",トウ、しま,
1511,桃,10,7,1,"Ki, Kihen",トウ、もも,
1512,討,10,6,1,"Gon, Gonben",トウ、う-つ,
1513,透,10,7,1,Shinnyoo,トウ、す-く、す-かす、す-ける,とお
1514,党,10,6,2,Shoo,トウ,
1515,悼,11,7,1,"Kokoro, Risshinben, Shitagokoro",トウ、いた-む,
1516,盗,11,7,3,Sara,トウ、ぬす-む,
1517,陶,11,7,1,Kozatohen,トウ,すえ
1518,塔,12,7,2,"Tsuchi, Tsuchihen",トウ,
1519,搭,12,7,1,Tehen,トウ,
1520,棟,12,7,1,"Ki, Kihen",トウ、むね、[むな],
1521,湯,12,3,2,"Mizu, Sanzui, Shitamizu",トウ、ゆ,タン
1522,痘,12,7,1,Yamaidare,トウ,
1523,登,12,3,3,Hatsugashira,トウ、ト、のぼ-る,の
1524,答,12,2,4,"Take, Takekanmuri",トウ、こた-える、こた-え,
1525,等,12,3,3,"Take, Takekanmuri",トウ、ひと-しい,ら、ま
1526,筒,12,7,2,"Take, Takekanmuri",トウ、つつ,
1527,統,12,5,1,"Ito, Itohen",トウ、す-べる,
1528,稲,14,7,1,"Nogi, Nogihen",トウ、いね、[いな],
1529,踏,15,7,1,"Ashi, Ashihen",トウ、ふ-む、ふ-まえる,
1530,糖,16,6,1,"Kome, Komehen",トウ,
1531,頭,16,2,3,Oogai,トウ、ズ、[ト]、あたま、かしら,ジュウ、かみ、がみ
1532,謄,17,7,1,"Gon, Gonben",トウ,
1533,藤,18,7,1,Kusakanmuri,トウ、ふじ,
1534,闘,18,7,1,Mongamae,トウ、たたか-う,
1535,騰,20,7,1,"Uma, Umahen",トウ,あ
1536,同,6,2,4,"Kuchi, Kuchihen",ドウ、おな-じ,
1537,洞,9,7,1,"Mizu, Sanzui, Shitamizu",ドウ、ほら,トウ
1538,胴,10,7,1,"Niku, Nikuzuki",ドウ,
1539,動,11,3,4,Chikara,ドウ、うご-く、うご-かす,
1540,堂,11,4,4,"Tsuchi, Tsuchihen",ドウ,
1541,童,12,3,2,Tatsu,ドウ、わらべ,わらわ
1542,道,12,2,4,Shinnyoo,ドウ、[トウ]、みち,い
1543,働,13,4,3,"Hito, Ninben, Hitoyane",ドウ、はたら-く,
1544,銅,14,5,2,"Kane, Kanehen",ドウ,
1545,導,15,5,2,Sun,ドウ、みちび-く,
1546,瞳,17,7,1,"Me, Mehen",ドウ、ひとみ,トウ
1547,峠,9,7,1,"Yama, Yamahen",とうげ,
1548,匿,10,7,1,Kakushigamae,トク,かく
1549,特,10,4,4,"Ushi, Ushihen",トク,
1550,得,11,4,3,Gyooninben,トク、え-る、う-る,
1551,督,13,7,1,"Me, Mehen",トク,
1552,徳,14,5,1,Gyooninben,トク,
1553,篤,16,7,1,"Take, Takekanmuri",トク,あつ
1554,毒,8,4,2,"Haha, Hahanokan",ドク,
1555,独,9,5,1,"Inu, Kemonohen",ドク、ひと-り,
1556,読,14,2,5,"Gon, Gonben",ドク、トク、[トウ]、よ-む,と、ど
1557,栃,9,7,0,"Ki, Kihen",[とち],
1558,凸,5,7,1,Ukebako,トツ,
1559,突,8,7,3,"Ana, Anakanmuri",トツ、つ-く,
1560,届,8,6,2,Shikabane,とど-ける、とど-く,
1561,屯,4,7,1,Tetsu,トン,たむろ
1562,豚,11,7,1,Inoko,トン、ぶた,
1563,頓,13,7,0,Oogai,トン,とみ
1564,貪,11,7,0,"Kai, Kaihen",ドン、むさぼ-る,
1565,鈍,12,7,2,"Kane, Kanehen",ドン、にぶ-い、にぶ-る,
1566,曇,16,7,2,"Nichi, Nichihen",ドン、くも-る,
1567,丼,5,7,0,Ten,どんぶり、[どん],
1568,那,7,7,1,Oozato,ナ,
1569,奈,8,7,1,Dai,ナ,
1570,内,4,2,3,"Hito, Ninben, Hitoyane",ナイ、[ダイ]、うち,ノウ、い
1571,梨,11,7,1,"Ki, Kihen",なし,リ
1572,謎,17,7,0,"Gon, Gonben",なぞ,
1573,鍋,17,7,0,"Kane, Kanehen",なべ,
1574,南,9,2,5,Juu,ナン、[ナ]、みなみ,
1575,軟,11,7,2,"Kuruma, Kurumahen",ナン、やわ-らか、やわ-らかい,
1576,難,18,6,3,Furutori,ナン、かた-い、むずか-しい,ナ
1577,二,2,1,5,Ni,ニ、ふた、ふた-つ,ジ
1578,尼,5,7,1,Shikabane,ニ、あま,
1579,弐,6,7,1,Shikigamae,ニ,
1580,匂,4,7,0,Tsutsumigamae,にお-う,
1581,肉,6,2,4,"Niku, Nikuzuki",ニク,
1582,虹,9,7,1,"Mushi, Mushihen",にじ,コウ
1583,日,4,1,5,"Nichi, Nichihen",ニチ、ジツ、ひ、か,
1584,入,2,1,5,Iru,ニュウ、い-る、い-れる、はい-る,ジュ、しお
1585,乳,8,6,2,"Otsu, Otsunyoo",ニュウ、ちち、ち,
1586,尿,7,7,1,Shikabane,ニョウ,
1587,任,6,5,3,"Hito, Ninben, Hitoyane",ニン、まか-せる、まか-す,
1588,妊,7,7,1,"Onna, Onnahen",ニン,
1589,忍,7,7,1,"Kokoro, Risshinben, Shitagokoro",ニン、しの-ぶ、しの-ばせる,
1590,認,14,6,3,"Gon, Gonben",ニン、みと-める,したた
1591,寧,14,7,1,Ukanmuri,ネイ,やす、むし
1592,熱,15,4,3,"Hi, Hihen, Renga",ネツ、あつ-い,
1593,年,6,1,5,Ichijuu,ネン、とし,
1594,念,8,4,3,"Kokoro, Risshinben, Shitagokoro",ネン,
1595,捻,11,7,0,Tehen,ネン,ひね
1596,粘,11,7,1,"Kome, Komehen",ネン、ねば-る,
1597,燃,16,5,2,"Hi, Hihen, Renga",ネン、も-える、も-やす、も-す,
1598,悩,10,7,2,"Kokoro, Risshinben, Shitagokoro",ノウ、なや-む、なや-ます,
1599,納,10,6,1,"Ito, Itohen",ノウ、[ナッ]、[ナ]、[ナン]、[トウ]、おさ-める、おさ-まる,い
1600,能,10,5,3,"Niku, Nikuzuki",ノウ,ノ、あた、よ、た
1601,脳,11,6,2,"Niku, Nikuzuki",ノウ,
1602,農,13,3,2,Shinnotatsu,ノウ,ノ
1603,濃,16,7,2,"Mizu, Sanzui, Shitamizu",ノウ、こ-い,
1604,把,7,7,1,Tehen,ハ,と
1605,波,8,3,2,"Mizu, Sanzui, Shitamizu",ハ、なみ,
1606,派,9,6,1,"Mizu, Sanzui, Shitamizu",ハ,
1607,破,10,5,3,"Ishi, Ishihen",ハ、やぶ-る、やぶ-れる,わ
1608,覇,19,7,1,Nishi,ハ,
1609,馬,10,2,3,"Uma, Umahen",バ、うま、[ま],メ
1610,婆,11,7,1,"Onna, Onnahen",バ,ポ
1611,罵,15,7,0,Amigashira,バ、ののし-る,
1612,拝,8,6,2,Tehen,ハイ、おが-む,
1613,杯,8,7,3,"Ki, Kihen",ハイ、さかずき,
1614,背,9,6,3,"Niku, Nikuzuki",ハイ、せ、せい、そむ-く、そむ-ける,
1615,肺,9,6,1,"Niku, Nikuzuki",ハイ,
1616,俳,10,6,1,"Hito, Ninben, Hitoyane",ハイ,
1617,配,10,3,3,"Tori, Torihen",ハイ、くば-る,
1618,排,11,7,1,Tehen,ハイ,
1619,敗,11,4,3,Nobun,ハイ、やぶ-れる,
1620,廃,12,7,1,Madare,ハイ、すた-れる、すた-る,
1621,輩,15,7,1,"Kuruma, Kurumahen",ハイ,ともがら
1622,売,7,2,4,Samurai,バイ、う-る、う-れる,マイ、メ
1623,倍,10,3,2,"Hito, Ninben, Hitoyane",バイ,ベ
1624,梅,10,4,1,"Ki, Kihen",バイ、うめ,メ
1625,培,11,7,1,"Tsuchi, Tsuchihen",バイ、つちか-う,
1626,陪,11,7,1,Kozatohen,バイ,
1627,媒,12,7,1,"Onna, Onnahen",バイ,なかだち、なこうど
1628,買,12,2,4,"Kai, Kaihen",バイ、か-う,
1629,賠,15,7,1,"Kai, Kaihen",バイ,
1630,白,5,1,5,Shiro,ハク、ビャク、しろ、[しら]、しろ-い,
1631,伯,7,7,1,"Hito, Ninben, Hitoyane",ハク,
1632,拍,8,7,1,Tehen,ハク、[ヒョウ],
1633,泊,8,7,2,"Mizu, Sanzui, Shitamizu",ハク、と-まる、と-める,
1634,迫,8,7,1,Shinnyoo,ハク、せま-る,
1635,剥,10,7,0,"Katana, Rittoo",ハク、は-がす、は-ぐ、は-がれる、は-げる,む
1636,舶,11,7,1,"Fune, Funehen",ハク,
1637,博,12,4,1,Juu,ハク、[バク],ひろ
1638,薄,16,7,2,Kusakanmuri,ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる,すすき
1639,麦,7,2,2,Mugi,バク、むぎ,
1640,漠,13,7,1,"Mizu, Sanzui, Shitamizu",バク,ひろ
1641,縛,16,7,1,"Ito, Itohen",バク、しば-る,
1642,爆,19,7,2,"Hi, Hihen, Renga",バク,
1643,箱,15,3,3,"Take, Takekanmuri",はこ,
1644,箸,15,7,0,"Take, Takekanmuri",はし,
1645,畑,9,3,0,"Ta, Tahen",はた、はたけ,
1646,肌,6,7,2,"Niku, Nikuzuki",はだ,キ
1647,八,2,1,5,Hachi,ハチ、や、や-つ、やっ-つ、[よう],ハツ
1648,鉢,13,7,1,"Kane, Kanehen",ハチ、[ハツ],
1649,発,9,3,4,Hatsugashira,ハツ、ホツ,
1650,髪,14,7,3,Kamigashira,ハツ、かみ,
1651,伐,6,7,1,"Hito, Ninben, Hitoyane",バツ,き、う
1652,抜,7,7,3,Tehen,バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる,
1653,罰,14,7,1,Amigashira,バツ、バチ,
1654,閥,14,7,1,Mongamae,バツ,
1655,反,4,3,3,Mata,ハン、[ホン]、[タン]、そ-る、そ-らす,
1656,半,5,2,5,Juu,ハン、なか-ば,
1657,氾,5,7,0,"Mizu, Sanzui, Shitamizu",ハン,
1658,犯,5,5,3,"Inu, Kemonohen",ハン、おか-す,ボン
1659,帆,6,7,1,"Haba, Kinben",ハン、ほ,
1660,汎,6,7,0,"Mizu, Sanzui, Shitamizu",ハン,
1661,伴,7,7,1,"Hito, Ninben, Hitoyane",ハン、バン、ともな-う,とも
1662,判,7,5,3,"Katana, Rittoo",ハン、バン,わか
1663,坂,7,3,2,"Tsuchi, Tsuchihen",ハン、さか,
1664,阪,7,7,3,Kozatohen,ハン,さか、ざか
1665,板,8,3,2,"Ki, Kihen",ハン、バン、いた,
1666,版,8,5,2,Katahen,ハン,
1667,班,10,6,1,"Tama, Oo",ハン,
1668,畔,10,7,1,"Ta, Tahen",ハン,ほとり、あぜ、くろ、ぐろ
1669,般,10,7,2,"Fune, Funehen",ハン,
1670,販,11,7,2,"Kai, Kaihen",ハン,
1671,斑,12,7,0,Bun,ハン,まだら、ふ
1672,飯,12,4,4,"Shoku, Shokuhen",ハン、めし,いい
1673,搬,13,7,1,Tehen,ハン,
1674,煩,13,7,1,"Hi, Hihen, Renga",ハン、[ボン]、わずら-う、わずら-わす,
1675,頒,13,7,1,Oogai,ハン,
1676,範,15,7,1,"Take, Takekanmuri",ハン,のり
1677,繁,16,7,1,"Ito, Itohen",ハン,しげ
1678,藩,18,7,1,Kusakanmuri,ハン,
1679,晩,12,6,3,"Nichi, Nichihen",バン,
1680,番,12,2,3,"Ta, Tahen",バン,つが
1681,蛮,12,7,1,"Mushi, Mushihen",バン,
1682,盤,15,7,1,Sara,バン,ハン
1683,比,4,5,2,Kuraberu,ヒ、くら-べる,
1684,皮,5,3,2,Kegawa,ヒ、かわ,
1685,妃,6,7,1,"Onna, Onnahen",ヒ,
1686,否,7,6,3,"Kuchi, Kuchihen",ヒ、いな,
1687,批,7,6,2,Tehen,ヒ,
1688,彼,8,7,3,Gyooninben,ヒ、かれ、[かの],か
1689,披,8,7,1,Tehen,ヒ,
1690,肥,8,5,1,"Niku, Nikuzuki",ヒ、こ-える、こえ、こ-やす、こ-やし,
1691,非,8,5,3,Arazu,ヒ,
1692,卑,9,7,1,Juu,ヒ、いや-しい、いや-しむ、いや-しめる,
1693,飛,9,4,3,Tobu,ヒ、と-ぶ、と-ばす,
1694,疲,10,7,3,Yamaidare,ヒ、つか-れる,
1695,秘,10,6,1,"Nogi, Nogihen",ヒ、ひ-める,
1696,被,10,7,2,"Koromo, Koromohen",ヒ、こうむ-る,かず、かぶ
1697,悲,12,3,3,"Kokoro, Risshinben, Shitagokoro",ヒ、かな-しい、かな-しむ,
1698,扉,12,7,1,"To, Tokanmuri",ヒ、とびら,
1699,費,12,4,3,"Kai, Kaihen",ヒ、つい-やす、つい-える,
1700,碑,14,7,1,"Ishi, Ishihen",ヒ,いしぶみ
1701,罷,15,7,1,Amigashira,ヒ,まか、や
1702,避,16,7,1,Shinnyoo,ヒ、さ-ける,
1703,尾,7,7,1,Shikabane,ビ、お,ミ
1704,眉,9,7,1,"Me, Mehen",ビ、[ミ]、まゆ,
1705,美,9,3,3,Hitsuji,ビ、うつく-しい,ミ、うま、よ
1706,備,12,5,3,"Hito, Ninben, Hitoyane",ビ、そな-える、そな-わる,つぶさ
1707,微,13,7,1,Gyooninben,ビ,ミ、かす
1708,鼻,14,3,2,Hana,ビ、はな,
1709,膝,15,7,0,"Niku, Nikuzuki",ひざ,シツ、シッ
1710,肘,7,7,0,"Niku, Nikuzuki",ひじ,チュウ
1711,匹,4,7,2,Kakushigamae,ヒツ、ひき,ピキ
1712,必,5,4,3,"Kokoro, Risshinben, Shitagokoro",ヒツ、かなら-ず,
1713,泌,8,7,1,"Mizu, Sanzui, Shitamizu",ヒツ、ヒ,
1714,筆,12,3,2,"Take, Takekanmuri",ヒツ、ふで,
1715,姫,10,7,1,"Onna, Onnahen",ひめ,キ
1716,百,6,1,5,Shiro,ヒャク,もも
1717,氷,5,3,2,"Mizu, Sanzui, Shitamizu",ヒョウ、こおり、ひ,こお
1718,表,8,3,3,"Koromo, Koromohen",ヒョウ、おもて、あらわ-す、あらわ-れる,
1719,俵,10,5,1,"Hito, Ninben, Hitoyane",ヒョウ、たわら,
1720,票,11,4,1,"Shimesu, Shimesuhen",ヒョウ,
1721,評,12,5,2,"Gon, Gonben",ヒョウ,
1722,漂,14,7,1,"Mizu, Sanzui, Shitamizu",ヒョウ、ただよ-う,
1723,標,15,4,2,"Ki, Kihen",ヒョウ,
1724,苗,8,7,1,Kusakanmuri,ビョウ、なえ、[なわ],ミョウ
1725,秒,9,3,2,"Nogi, Nogihen",ビョウ,
1726,病,10,3,4,Yamaidare,ビョウ、[ヘイ]、や-む、やまい,うれ
1727,描,11,7,1,Tehen,ビョウ、えが-く、か-く,
1728,猫,11,7,3,"Inu, Kemonohen",ビョウ、ねこ,ミョウ
1729,品,9,3,4,"Kuchi, Kuchihen",ヒン、しな,ホン、ポン、ボン
1730,浜,10,7,1,"Mizu, Sanzui, Shitamizu",ヒン、はま,
1731,貧,11,5,3,"Kai, Kaihen",ヒン、ビン、まず-しい,
1732,賓,15,7,1,"Kai, Kaihen",ヒン,まろうど
1733,頻,17,7,1,Oogai,ヒン,しき
1734,敏,10,7,1,Nobun,ビン,さと、と、ざと
1735,瓶,11,7,1,Kawara,ビン,ヘイ、かめ、がめ
1736,不,4,4,4,Fu,フ、ブ,
1737,夫,4,4,3,Dai,フ、[フウ]、おっと,か
1738,父,4,2,5,Chichi,フ、ちち,
1739,付,5,4,3,"Hito, Ninben, Hitoyane",フ、つ-ける、つ-く,
1740,布,5,5,2,"Haba, Kinben",フ、ぬの,ホ、し
1741,扶,7,7,1,Tehen,フ,
1742,府,8,4,2,Madare,フ,
1743,怖,8,7,3,"Kokoro, Risshinben, Shitagokoro",フ、こわ-い,
1744,阜,8,7,0,Kozatohen,[フ],おか
1745,附,8,7,1,Kozatohen,フ,つ、づ
1746,訃,9,7,0,"Gon, Gonben",フ,
1747,負,9,3,3,"Kai, Kaihen",フ、ま-ける、ま-かす、お-う,
1748,赴,9,7,1,"Hashiru, Soonyoo",フ、おもむ-く,
1749,浮,10,7,3,"Mizu, Sanzui, Shitamizu",フ、う-く、う-かれる、う-かぶ、う-かべる,
1750,婦,11,5,3,"Onna, Onnahen",フ,
1751,符,11,7,2,"Take, Takekanmuri",フ,
1752,富,12,5,3,Ukanmuri,フ、[フウ]、と-む、とみ,
1753,普,12,7,2,"Nichi, Nichihen",フ,あまね
1754,腐,14,7,1,"Niku, Nikuzuki",フ、くさ-る、くさ-れる、くさ-らす,
1755,敷,15,7,1,Nobun,フ、し-く,
1756,膚,15,7,2,"Niku, Nikuzuki",フ,はだ
1757,賦,15,7,1,"Kai, Kaihen",フ,
1758,譜,19,7,1,"Gon, Gonben",フ,
1759,侮,8,7,1,"Hito, Ninben, Hitoyane",ブ、あなど-る,
