Radical ID#,Stroke#,Radical,Meaning,Japanese,Romaji,Extra Readings
173,6,⾇,"contrary, to err",まいあし,maiashi,
174,6,⾈,"ship, boat",ふね,fune,"{‘left’,’ふねへん’}"
175,6,⾉,boundary,こん,kon,
176,6,⾊,color,いろ,iro,
177,6,⾋,"grass, plant",くさ,kusa,
178,6,⾌,tiger,とらがしら,toragashira,
179,6,⾍,"worm, insect, bug",むし,mushi,"{‘left’, ‘むしへん’}"
180,6,⾎,blood,ち,chi,
181,6,⾏,to go,ぎょうがまえ,gyougamae,
182,6,⾐,clothing,ころも,koromo,
183,6,⾑,"cover, west",にし,nishi,
184,6,⻃,"cover, west",にし,nishi,
185,6,⽠,melon,うり,uri,
186,7,⾒,to see,みる,miru,
187,7,⾓,"horn, corner",つの,tsuno,"{‘left’, ‘つのへん’}"
188,7,⾔,"words, to speak, say",げん,gen,"{‘left’, ‘ごんべん’}"
189,7,⾕,valley,たに,tani,"{‘left’, ‘たにへん’}"
190,7,⾖,bean,まめ,mame,"{‘left’, ‘まめへん’}"
191,7,⾗,pig,いのこ,inoko,
192,7,⾘,badger,むじなへん,mujinahen,
193,7,⾙,"shell, property, wealth",かい,kai,"{‘left’, ‘かいへん’}"
194,7,⾚,red,あか,aka,
195,7,⾛,to run,はしる,hashiru,
196,7,,to run,そうにょう,sounyou,
197,7,⾜,"foot, leg",あし,ashi,
198,7,⻊,"foot, leg",あしへん,ashihen,
199,7,⾝,body,み,mi,"{‘left’, ‘みへん’}"
200,7,⾞,"vehicle, wheel, car",くるま,kuruma,"{‘left’, ‘くるまへん’}"
201,7,⾟,bitter,からい,karai,
202,7,⾠,"Fifth zodiac sign, 7–9 A.M.",しんのたつ,shinnotatsu,
203,7,⾡,"to advance, move ahead",しんにょう,shinnyou,
204,7,⾢,community,むら,mura,
205,7,⾣,"sake jar, bird",ひよみのとり,hiyominotori,
206,7,,"sake jar, bird",とりへん,torihen,
207,7,⾤,to separate,のごめ,nogome,"{‘left’, ‘のごめへん’}"
208,7,⾥,"village, (3.93 km)",さと,sato,"{‘left’, ‘さとへん’}"
209,7,⾂,"retainer, minister",しん,shin,
210,7,,"contrary, to err",まいあし,maiashi,
211,7,⻨,wheat,むぎ,mugi,
212,8,⾦,"metal, gold, mineral",かね,kane,"{‘left’, ‘かねへん’}"
213,8,長,long,ながい,nagai,
214,8,⾨,"gate, door",もんがまえ,mongamae,
215,8,⾩,hill,こざと,kozato,
216,8,⾪,to capture,れいづくり,reizukuri,
217,8,⾫,small bird,ふるとり,furutori,
218,8,⾬,rain,あめ,ame,
219,8,⻗,rain,あめかんむり,amekanmuri,
220,8,⾭,"blue, green",あお,ao,
221,8,⻘,"blue, green",あお,ao,
222,8,⾮,"wrong, non-",あらず,arazu,
223,8,⻟,"food, to eat",しょくへん,shokuhen,
224,8,⻫,alike,せい,sei,
225,9,⾯,"face, surface",めん,men,
226,9,⾰,leather,つくりがわ,tsukurigawa,
227,9,⾲,leek,にら,nira,
228,9,⾳,"sound, noise",おと,oto,
229,9,⾴,"head, page",おおがい,oogai,
230,9,⾵,wind,かぜ,kaze,
231,9,⾶,to fly,とぶ,tobu,
232,9,⾷,"food, to eat",しょく,shoku,
233,9,⾸,head,くび,kubi,
234,9,⾹,scent,かおり,kaori,
235,10,⾺,horse,うま,uma,"{‘left’, ‘うまへん’}"
236,10,⾻,bone,ほね,hone,"{‘left’, ‘ほねへん’}"
237,10,⾼,high,たかい,takai,
238,10,⾽,long hair,かみかんむり,kamikanmuri,
239,10,⾾,fighting,たたかいがまえ,tatakaigamae,
240,10,⾿,herbs,においざけ,nioizake,
241,10,⿀,tripod,れき,reki,
242,10,⿁,demon,おに,oni,
243,10,⾱,leather,なめしがわ,nameshigawa,
244,11,⿂,fish,うお,uo,"{‘left’, ‘うおへん’}"
245,11,⿃,bird,とり,tori,
246,11,⿄,salt,しお,shio,
247,11,⿅,deer,しか,shika,
248,11,⿆,wheat,むぎ,mugi,
249,11,⿇,hemp,あさ,asa,"{‘top’, ‘あさかんむり’}"
250,11,⻩,yellow,き,ki,
251,11,黒,black,くろ,kuro,
252,11,⻲,turtle,かめ,kame,
253,12,⿈,yellow,き,ki,
254,12,⿉,millet,きび,kibi,
255,12,⿊,black,くろ,kuro,
256,12,⿋,embroider,ぬいとり,nuitori,
257,12,⻭,tooth,は,ha,
258,13,⿌,frog,かえる,kaeru,
259,13,⿍,tripod,かなえ,kanae,
260,13,⿎,drum,つづみ,tuzumi,
261,13,⿏,"rat, mouse",ねずみ,nezumi,
262,14,⿐,nose,はな,hana,
263,14,⿑,alike,せい,sei,
264,15,⿒,tooth,は,ha,
265,16,⿓,dragon,りゅう,ryuu,
266,16,⿔,turtle,かめ,kame,
267,17,⿕,flute,やく,yaku,
