id,Kanji,Old Kanji,Radical,Strokes,Grade,JLPT,Meanings,Kun yomi,Kun romaji,On yomi,On romaji
731,錯,,金,16,S,1,confused,,,サク,saku
732,咲,,口,9,S,2,blossom,さ-く,sa-ku,,
733,冊,,冂,5,6,2,counter for books,,,"サツ, サク","satsu,  saku"
734,札,,木,5,4,2,tag,ふだ, fuda,サツ,satsu
735,刷,,刀,8,4,2,printing,す-る, su-ru,サツ,satsu
736,刹,,刀,8,S,0,temple,,,"サツ, セツ","satsu,  setsu"
737,拶,,手,9,S,0,be imminent,,,サツ,satsu
738,殺,殺,殳,10,5,3,kill,ころ-す, koro-su,"サツ, （サイ）, （セツ）","satsu,  (sai),  (setsu)"
739,察,,宀,14,4,3,guess,,,サツ,satsu
740,撮,,手,15,S,1,snapshot,と-る, to-ru,サツ,satsu
741,擦,,手,17,S,1,grate,"す-る, す-れる"," su-ru,  su-reru",サツ,satsu
742,雑,雜,隹,14,5,3,miscellaneous,,,"ザツ, ゾウ","zatsu,  zou"
743,皿,,皿,5,3,2,dish,さら,sara,,
744,三,,一,3,1,5,three,"み, み-つ, みっ-つ"," mi,  mi-tsu,  mi'-tsu",サン,san
745,山,,山,3,1,5,mountain,やま, yama,サン,san
746,参,參,厶,8,4,3,participate,まい-る, mai-ru,サン,san
747,桟,棧,木,10,S,1,scaffold,,,サン,san
748,蚕,蠶,虫,10,6,1,silkworm,かいこ, kaiko,サン,san
749,惨,慘,心,11,S,1,wretched,みじ-め, miji-me,"サン, ザン","san,  zan"
750,産,,生,11,4,3,give birth,"う-む, う-まれる, うぶ"," u-mu,  u-mareru,  ubu",サン,san
751,傘,,人,12,S,1,umbrella,かさ, kasa,サン,san
752,散,,攴,12,4,3,scatter,"ち-る, ち-らす, ち-らかす, ち-らかる"," chi-ru,  chi-rasu,  chi-rakasu,  chi-rakaru",サン,san
753,算,,竹,14,2,2,calculate,,,サン,san
754,酸,,酉,14,5,1,acid,す-い, su-i,サン,san
755,賛,贊,貝,15,5,3,approve,,,サン,san
756,残,殘,歹,10,4,3,remainder,"のこ-る, のこ-す"," noko-ru,  noko-su",ザン,zan
757,斬,,斤,11,S,0,kill by slicing,き-る, ki-ru,ザン,zan
758,暫,,日,15,S,1,temporarily,,,ザン,zan
759,士,,士,3,5,1,gentleman,,,シ,shi
760,子,,子,3,1,5,child,こ, ko,"シ, ス","shi,  su"
761,支,,支,4,5,3,branch,ささ-える, sasa-eru,シ,shi
762,止,,止,4,2,4,stop,"と-まる, と-める"," to-maru,  to-meru",シ,shi
763,氏,,氏,4,4,1,family name,うじ, uji,シ,shi
764,仕,,人,5,3,4,do,つか-える, tsuka-eru,"シ, （ジ）","shi,  (ji)"
765,史,,口,5,5,2,history,,,シ,shi
766,司,,口,5,4,2,director,,,シ,shi
767,四,,囗,5,1,5,four,"よ, よ-つ, よっ-つ, よん"," yo,  yo-tsu,  yo'-tsu,  yon",シ,shi
768,市,,巾,5,2,3,market,いち, ichi,シ,shi
769,矢,,矢,5,2,1,arrow,や, ya,シ,shi
770,旨,,日,6,S,1,delicious,むね, mune,シ,shi
771,死,,歹,6,3,4,death,し-ぬ, shi-nu,シ,shi
772,糸,絲,糸,6,1,2,thread,いと, ito,シ,shi
773,至,,至,6,6,1,climax,いた-る, ita-ru,シ,shi
774,伺,,人,7,S,2,pay respects,うかが-う, ukaga-u,シ,shi
775,志,,心,7,5,2,intention,"こころざ-す, こころざし"," kokoroza-su,  kokorozashi",シ,shi
776,私,,禾,7,6,4,me,"わたくし, わたし"," watakushi,  watashi",シ,shi
777,使,,人,8,3,4,use,つか-う, tsuka-u,シ,shi
778,刺,,刀,8,S,2,thorn,"さ-す, さ-さる"," sa-su,  sa-saru",シ,shi
779,始,,女,8,3,4,begin,"はじ-める, はじ-まる"," haji-meru,  haji-maru",シ,shi
780,姉,,女,8,2,4,older sister,あね, ane,シ,shi
781,枝,,木,8,5,2,branch,えだ, eda,シ,shi
782,祉,祉,示,8,S,1,welfare,,,シ,shi
783,肢,,肉,8,S,1,limb,,,シ,shi
784,姿,,女,9,6,1,figure,すがた, sugata,シ,shi
785,思,,心,9,2,4,think,おも-う, omo-u,シ,shi
786,指,,手,9,3,3,finger,"ゆび, さ-す"," yubi,  sa-su",シ,shi
787,施,,方,9,S,1,carry out,ほどこ-す, hodoko-su,"シ, セ","shi,  se"
788,師,,巾,10,5,3,expert,,,シ,shi
789,恣,,心,10,S,0,selfish,,,シ,shi
790,紙,,糸,10,2,4,paper,かみ, kami,シ,shi
791,脂,,肉,10,S,2,fat,あぶら, abura,シ,shi
792,視,視,見,11,6,1,look at,,,シ,shi
793,紫,,糸,12,S,1,purple,むらさき, murasaki,シ,shi
794,詞,,言,12,6,2,poetry,,,シ,shi
795,歯,齒,齒,12,3,3,tooth,は, ha,シ,shi
796,嗣,,口,13,S,1,heir,,,シ,shi
797,試,,言,13,4,4,test,"こころ-みる, ため-す"," kokoro-miru,  tame-su",シ,shi
798,詩,,言,13,3,1,poem,,,シ,shi
799,資,,貝,13,5,3,resources,,,シ,shi
800,飼,,食,13,5,1,domesticate,か-う, ka-u,シ,shi
801,誌,,言,14,6,2,document,,,シ,shi
802,雌,,隹,14,S,1,feminine,"め, めす"," me,  mesu",シ,shi
803,摯,,手,15,S,0,seriousness,,,シ,shi
804,賜,,貝,15,S,1,grant,たまわ-る, tamawa-ru,シ,shi
805,諮,,言,16,S,1,consult with,はか-る, haka-ru,シ,shi
806,示,,示,5,5,3,indicate,しめ-す, shime-su,"ジ, シ","ji,  shi"
807,字,,子,6,1,4,letter,あざ, aza,ジ,ji
808,寺,,寸,6,2,2,Buddhist temple,てら, tera,ジ,ji
809,次,,欠,6,3,3,next,"つ-ぐ, つぎ"," tsu-gu,  tsugi","ジ, シ","ji,  shi"
810,耳,,耳,6,1,4,ear,みみ, mimi,ジ,ji
811,自,,自,6,2,4,oneself,みずか-ら, mizuka-ra,"ジ, シ","ji,  shi"
812,似,,人,7,5,3,becoming,に-る, ni-ru,ジ,ji
813,児,兒,儿,7,4,2,child,,,"ジ, （ニ）","ji,  (ni)"
814,事,,亅,8,3,4,abstract thing,こと, koto,"ジ, （ズ）","ji,  (zu)"
815,侍,,人,8,S,1,waiter,さむらい, samurai,ジ,ji
816,治,,水,8,4,3,govern,"おさ-める, おさ-まる, なお-る, なお-す"," osa-meru,  osa-maru,  nao-ru,  nao-su","ジ, チ","ji,  chi"
817,持,,手,9,3,4,hold,も-つ, mo-tsu,ジ,ji
818,時,,日,10,2,5,time,とき, toki,ジ,ji
819,滋,,水,12,4,1,nourishing,,,ジ,ji
820,慈,,心,13,S,1,mercy,いつく-しむ, itsuku-shimu,ジ,ji
821,辞,辭,辛,13,4,3,resign,や-める, ya-meru,ジ,ji
822,磁,,石,14,6,1,magnet,,,ジ,ji
823,餌,,食,15,S,0,bait,"えさ, え"," esa,  e",ジ,ji
824,璽,,玉,19,S,0,emperor's seal,,,ジ,ji
825,鹿,,鹿,11,4,1,deer,"しか, （か）","shika,  (ka)",,
826,式,,弋,6,3,3,style,,,シキ,shiki
827,識,,言,19,5,3,discriminating,,,シキ,shiki
828,軸,,車,12,S,1,axis,,,ジク,jiku
829,七,,一,2,1,5,seven,"なな, なな-つ, （なの）"," nana,  nana-tsu,  (nano)",シチ,shichi
830,𠮟,,口,5,S,0,scold,しか-る, shika-ru,シツ,shitsu
831,失,,大,5,4,3,lose,うしな-う, ushina-u,シツ,shitsu
832,室,,宀,9,2,4,room,むろ, muro,シツ,shitsu
833,疾,,疒,10,S,1,rapidly,,,シツ,shitsu
834,執,,土,11,S,1,tenacious,と-る, to-ru,"シツ, シュウ","shitsu,  shuu"
835,湿,濕,水,12,S,2,damp,"しめ-る, しめ-す"," shime-ru,  shime-su",シツ,shitsu
836,嫉,,女,13,S,0,envy,,,シツ,shitsu
837,漆,,水,14,S,1,lacquer,うるし, urushi,シツ,shitsu
838,質,,貝,15,5,4,quality,,,"シツ, シチ, （チ）","shitsu,  shichi,  (chi)"
839,実,實,宀,8,3,3,truth,"み, みの-る"," mi,  mino-ru",ジツ,jitsu
840,芝,,艸,6,S,1,turf,しば,shiba,,
841,写,寫,宀,5,3,4,copy,"うつ-す, うつ-る"," utsu-su,  utsu-ru",シャ,sha
842,社,社,示,7,2,4,company,やしろ, yashiro,シャ,sha
843,車,,車,7,1,5,car,くるま, kuruma,シャ,sha
844,舎,舍,舌,8,5,1,cottage,,,シャ,sha
845,者,者,老,8,3,4,someone,もの, mono,シャ,sha
846,射,,寸,10,6,1,shoot,い-る, i-ru,シャ,sha
847,捨,,手,11,6,2,throw away,す-てる, su-teru,シャ,sha
848,赦,,赤,11,S,1,pardon,,,シャ,sha
849,斜,,斗,11,S,1,diagonal,なな-め, nana-me,シャ,sha
850,煮,煮,火,12,S,1,boil,"に-る, に-える, に-やす"," ni-ru,  ni-eru,  ni-yasu",シャ,sha
851,遮,,辵,14,S,1,intercept,さえぎ-る, saegi-ru,シャ,sha
852,謝,,言,17,5,1,apologize,あやま-る, ayama-ru,シャ,sha
853,邪,,邑,8,S,1,wicked,,,ジャ,ja
854,蛇,,虫,11,S,1,snake,へび, hebi,"ジャ, ダ","ja,  da"
855,尺,,尸,4,6,1,shaku,,,シャク,shaku
856,借,,人,10,4,4,borrow,か-りる, ka-riru,シャク,shaku
857,酌,,酉,10,S,1,bartending,く-む, ku-mu,シャク,shaku
858,釈,釋,釆,11,S,1,explanation,,,シャク,shaku
859,爵,,爪,17,S,1,baron,,,シャク,shaku
860,若,,艸,8,6,3,young,"わか-い, も-しくは"," waka-i,  mo-shikuha","ジャク, （ニャク）","jaku,  (nyaku)"
861,弱,,弓,10,2,3,weak,"よわ-い, よわ-る, よわ-まる, よわ-める"," yowa-i,  yowa-ru,  yowa-maru,  yowa-meru",ジャク,jaku
862,寂,,宀,11,S,1,loneliness,"さび, さび-しい, さび-れる"," sabi,  sabi-shii,  sabi-reru","ジャク, （セキ）","jaku,  (seki)"
863,手,,手,4,1,4,hand,"て, （た）"," te,  (ta)",シュ,shu
864,主,,丶,5,3,4,master,"ぬし, おも"," nushi,  omo","シュ, （ス）","shu,  (su)"
865,守,,宀,6,3,3,protect,"まも-る, も-り"," mamo-ru,  mo-ri","シュ, （ス）","shu,  (su)"
866,朱,,木,6,S,1,vermilion,,,シュ,shu
867,取,,又,8,3,3,take,と-る, to-ru,シュ,shu
868,狩,,犬,9,S,1,hunt,"か-る, か-り"," ka-ru,  ka-ri",シュ,shu
869,首,,首,9,2,3,neck,くび, kubi,シュ,shu
870,殊,,歹,10,S,1,particularly,こと, koto,シュ,shu
871,珠,,玉,10,S,1,pearl,,,シュ,shu
872,酒,,酉,10,3,3,alcoholic drink,"さけ, （さか）"," sake,  (saka)",シュ,shu
873,腫,,肉,13,S,0,tumor,"は-れる, は-らす"," ha-reru,  ha-rasu",シュ,shu
874,種,,禾,14,4,3,kind,たね, tane,シュ,shu
875,趣,,走,15,S,1,gist,おもむき, omomuki,シュ,shu
876,寿,壽,士,7,S,0,longevity,ことぶき, kotobuki,ジュ,ju
877,受,,又,8,3,3,accept,"う-ける, う-かる"," u-keru,  u-karu",ジュ,ju
878,呪,,口,8,S,0,curse,のろ-う, noro-u,ジュ,ju
879,授,,手,11,5,2,instruct,"さず-ける, さず-かる"," sazu-keru,  sazu-karu",ジュ,ju
880,需,,雨,14,S,1,demand,,,ジュ,ju
881,儒,,人,16,S,1,Confucian,,,ジュ,ju
882,樹,,木,16,6,1,trees,,,ジュ,ju
883,収,收,攴,4,6,3,take in,"おさ-める, おさ-まる"," osa-meru,  osa-maru",シュウ,shuu
884,囚,,囗,5,S,1,captured,,,シュウ,shuu
885,州,,巛,6,3,2,state,す, su,シュウ,shuu
886,舟,,舟,6,S,2,boat,"ふね, （ふな）"," fune,  (funa)",シュウ,shuu
887,秀,,禾,7,S,1,excel,ひい-でる, hii-deru,シュウ,shuu
888,周,,口,8,4,2,circumference,まわ-り, mawa-ri,シュウ,shuu
889,宗,,宀,8,6,1,religion,,,"シュウ, ソウ","shuu,  sou"
890,拾,,手,9,3,2,pick up,ひろ-う, hiro-u,"シュウ, ジュウ","shuu,  juu"
891,秋,,禾,9,2,4,autumn,あき, aki,シュウ,shuu
892,臭,臭,自,9,S,1,stinking,"くさ-い, にお-う"," kusa-i,  nio-u",シュウ,shuu
893,修,,人,10,5,2,discipline,"おさ-める, おさ-まる"," osa-meru,  osa-maru","シュウ, （シュ）","shuu,  (shu)"
894,袖,,衣,10,S,0,sleeve,そで, sode,シュウ,shuu
895,終,,糸,11,3,4,end,"お-わる, お-える"," o-waru,  o-eru",シュウ,shuu
896,羞,,羊,11,S,0,feel ashamed,,,シュウ,shuu
897,習,,羽,11,3,4,learn,なら-う, nara-u,シュウ,shuu
898,週,,辵,11,2,4,week,,,シュウ,shuu
899,就,,尢,12,6,1,concerning,"つ-く, つ-ける"," tsu-ku,  tsu-keru","シュウ, （ジュ）","shuu,  (ju)"
900,衆,,血,12,6,1,masses,,,"シュウ, （シュ）","shuu,  (shu)"
901,集,,隹,12,3,4,collect,"あつ-まる, あつ-める, つど-う"," atsu-maru,  atsu-meru,  tsudo-u",シュウ,shuu
902,愁,,心,13,S,1,distress,"うれ-える, うれ-い"," ure-eru,  ure-i",シュウ,shuu
903,酬,,酉,13,S,1,repay,,,シュウ,shuu
904,醜,,酉,17,S,1,ugly,みにく-い, miniku-i,シュウ,shuu
905,蹴,,足,19,S,0,kick,け-る, ke-ru,シュウ,shuu
906,襲,,衣,22,S,1,attack,おそ-う, oso-u,シュウ,shuu
907,十,,十,2,1,5,ten,"とお, と"," too,  to","ジュウ, ジッ","juu,  ji'"
908,汁,,水,5,S,1,soup,しる, shiru,ジュウ,juu
909,充,,儿,6,S,1,allot,あ-てる, a-teru,ジュウ,juu
910,住,,人,7,3,4,dwelling,"す-む, す-まう"," su-mu,  su-mau",ジュウ,juu
911,柔,,木,9,S,2,tender,"やわ-らか, やわ-らかい"," yawa-raka,  yawa-rakai","ジュウ, ニュウ","juu,  nyuu"
912,重,,里,9,3,4,heavy,"え, おも-い, かさ-ねる, かさ-なる"," e,  omo-i,  kasa-neru,  kasa-naru","ジュウ, チョウ","juu,  chou"
913,従,從,彳,10,6,1,obey,"したが-う, したが-える"," shitaga-u,  shitaga-eru","ジュウ, （ショウ）, （ジュ）","juu,  (shou),  (ju)"
914,渋,澁,水,11,S,1,astringent,"しぶ, しぶ-い, しぶ-る"," shibu,  shibu-i,  shibu-ru",ジュウ,juu
915,銃,,金,14,S,1,gun,,,ジュウ,juu
916,獣,獸,犬,16,S,1,animal,けもの, kemono,ジュウ,juu
917,縦,縱,糸,16,6,1,vertical,たて, tate,ジュウ,juu
918,叔,,又,8,S,1,uncle,,,シュク,shuku
919,祝,祝,示,9,4,2,celebrate,いわ-う, iwa-u,"シュク, （シュウ）","shuku,  (shuu)"
920,宿,,宀,11,3,3,inn,"やど, やど-る, やど-す"," yado,  yado-ru,  yado-su",シュク,shuku
921,淑,,水,11,S,1,graceful,,,シュク,shuku
922,粛,肅,聿,11,S,1,solemn,,,シュク,shuku
923,縮,,糸,17,6,1,shrink,"ちぢ-む, ちぢ-まる, ちぢ-める, ちぢ-れる, ちぢ-らす"," chiji-mu,  chiji-maru,  chiji-meru,  chiji-reru,  chiji-rasu",シュク,shuku
924,塾,,土,14,S,1,cram school,,,ジュク,juku
925,熟,,火,15,6,1,ripen,う-れる, u-reru,ジュク,juku
926,出,,凵,5,1,5,exit,"で-る, だ-す"," de-ru,  da-su","シュツ, （スイ）","shutsu,  (sui)"
927,述,,辵,8,5,2,mention,の-べる, no-beru,ジュツ,jutsu
928,術,,行,11,5,3,art,,,ジュツ,jutsu
929,俊,,人,9,S,1,genius,,,シュン,shun
930,春,,日,9,2,4,springtime,はる, haru,シュン,shun
931,瞬,,目,18,S,1,wink,またた-く, matata-ku,シュン,shun
932,旬,,日,6,S,1,10-day period (of the month),,,"ジュン, （シュン）","jun,  (shun)"
933,巡,,巛,6,S,1,patrol,めぐ-る, megu-ru,ジュン,jun
934,盾,,目,9,S,1,shield,たて, tate,ジュン,jun
935,准,,冫,10,S,1,quasi-,,,ジュン,jun
936,殉,,歹,10,S,1,martyrdom,,,ジュン,jun
937,純,,糸,10,6,2,genuine,,,ジュン,jun
938,循,,彳,12,S,1,sequential,,,ジュン,jun
939,順,,頁,12,4,2,obey,,,ジュン,jun
940,準,,水,13,5,2,standard,,,ジュン,jun
941,潤,,水,15,S,1,wet,"うるお-う, うるお-す, うる-む"," uruo-u,  uruo-su,  uru-mu",ジュン,jun
942,遵,,辵,15,S,1,abide by,,,ジュン,jun
943,処,處,虍,5,6,3,dispose,,,ショ,sho
944,初,,刀,7,4,3,first,"はじ-め, はじ-めて, はつ, うい, そ-める"," haji-me,  haji-mete,  hatsu,  ui,  so-meru",ショ,sho
945,所,,戶,8,3,3,place,ところ, tokoro,ショ,sho
946,書,,曰,10,2,5,write,か-く, ka-ku,ショ,sho
947,庶,,广,11,S,1,commoner,,,ショ,sho
948,暑,暑,日,12,3,3,hot,あつ-い, atsu-i,ショ,sho
949,署,署,网,13,6,2,government office,,,ショ,sho
950,緒,緖,糸,14,S,3,thong,お, o,"ショ, （チョ）","sho,  (cho)"
951,諸,諸,言,15,6,2,various,,,ショ,sho
952,女,,女,3,1,5,woman,"おんな, め"," onna,  me","ジョ, ニョ, （ニョウ）","jo,  nyo,  (nyou)"
953,如,,女,6,S,1,likeness,,,"ジョ, ニョ","jo,  nyo"
954,助,,力,7,3,3,help,"たす-ける, たす-かる, すけ"," tasu-keru,  tasu-karu,  suke",ジョ,jo
955,序,,广,7,5,1,preface,,,ジョ,jo
956,叙,敍,攴,9,S,1,confer,,,ジョ,jo
957,徐,,彳,10,S,1,gradually,,,ジョ,jo
958,除,,阜,10,6,3,exclude,のぞ-く, nozo-ku,"ジョ, （ジ）","jo,  (ji)"
959,小,,小,3,1,5,small,"ちい-さい, こ, お"," chii-sai,  ko,  o",ショウ,shou
960,升,,十,4,S,1,measuring box,ます, masu,ショウ,shou
961,少,,小,4,2,4,few,"すく-ない, すこ-し"," suku-nai,  suko-shi",ショウ,shou
962,召,,口,5,S,2,summon,め-す, me-su,ショウ,shou
963,匠,,匚,6,S,1,artisan,,,ショウ,shou
964,床,,广,7,S,2,bed,"とこ, ゆか"," toko,  yuka",ショウ,shou
965,抄,,手,7,S,1,extract,,,ショウ,shou
966,肖,,肉,7,S,1,resemblance,,,ショウ,shou
967,尚,,小,8,S,1,esteem,,,ショウ,shou
968,招,,手,8,5,3,beckon,まね-く, mane-ku,ショウ,shou
969,承,,手,8,6,2,acquiesce,うけたまわ-る, uketamawa-ru,ショウ,shou
970,昇,,日,8,S,2,rise up,のぼ-る, nobo-ru,ショウ,shou
971,松,,木,8,4,1,pine,まつ, matsu,ショウ,shou
972,沼,,水,8,S,1,marsh,ぬま, numa,ショウ,shou
973,昭,,日,9,3,1,shining,,,ショウ,shou
974,宵,,宀,10,S,1,wee hours,よい, yoi,ショウ,shou
975,将,將,寸,10,6,2,leader,,,ショウ,shou
976,消,,水,10,3,3,extinguish,"き-える, け-す"," ki-eru,  ke-su",ショウ,shou
977,症,,疒,10,S,1,symptoms,,,ショウ,shou
978,祥,祥,示,10,S,1,auspicious,,,ショウ,shou
979,称,稱,禾,10,S,1,appellation,,,ショウ,shou
980,笑,,竹,10,4,3,laugh,"わら-う, え-む"," wara-u,  e-mu",ショウ,shou
981,唱,,口,11,4,1,chant,とな-える, tona-eru,ショウ,shou
982,商,,口,11,3,3,sell,あきな-う, akina-u,ショウ,shou
983,渉,涉,水,11,S,1,ford,,,ショウ,shou
984,章,,立,11,3,2,chapter,,,ショウ,shou
985,紹,,糸,11,S,2,introduce,,,ショウ,shou
986,訟,,言,11,S,1,sue,,,ショウ,shou
987,勝,,力,12,3,3,win,"か-つ, まさ-る"," ka-tsu,  masa-ru",ショウ,shou
988,掌,,手,12,S,1,manipulate,,,ショウ,shou
989,晶,,日,12,S,1,sparkle,,,ショウ,shou
990,焼,燒,火,12,4,2,bake,"や-く, や-ける"," ya-ku,  ya-keru",ショウ,shou
991,焦,,火,12,S,1,char,"こ-げる, こ-がす, こ-がれる, あせ-る"," ko-geru,  ko-gasu,  ko-gareru,  ase-ru",ショウ,shou
992,硝,,石,12,S,1,nitrate,,,ショウ,shou
993,粧,,米,12,S,0,cosmetics,,,ショウ,shou
994,詔,,言,12,S,1,imperial edict,みことのり, mikotonori,ショウ,shou
995,証,證,言,12,5,1,evidence,,,ショウ,shou
996,象,,豕,12,5,2,elephant,,,"ショウ, ゾウ","shou,  zou"
997,傷,,人,13,6,1,wound,"きず, いた-む, いた-める"," kizu,  ita-mu,  ita-meru",ショウ,shou
998,奨,奬,大,13,S,1,exhort,,,ショウ,shou
999,照,,火,13,4,2,illuminate,"て-る, て-らす, て-れる"," te-ru,  te-rasu,  te-reru",ショウ,shou
1000,詳,,言,13,S,1,detailed,くわ-しい, kuwa-shii,ショウ,shou
1001,彰,,彡,14,S,1,patent,,,ショウ,shou
1002,障,,阜,14,6,1,hurt,さわ-る, sawa-ru,ショウ,shou
1003,憧,,心,15,S,1,desire,あこが-れる, akoga-reru,ショウ,shou
1004,衝,,行,15,S,1,collide,,,ショウ,shou
1005,賞,,貝,15,5,2,prize,,,ショウ,shou
1006,償,,人,17,S,1,reparation,つぐな-う, tsuguna-u,ショウ,shou
1007,礁,,石,17,S,1,reef,,,ショウ,shou
1008,鐘,,金,20,S,1,bell,かね, kane,ショウ,shou
1009,上,,一,3,1,5,up,"うえ, （うわ）, かみ, あ-げる, あ-がる, のぼ-る, のぼ-せる, のぼ-す"," ue,  (uwa),  kami,  a-geru,  a-garu,  nobo-ru,  nobo-seru,  nobo-su","ジョウ, （ショウ）","jou,  (shou)"
1010,丈,,一,3,S,0,length,たけ, take,ジョウ,jou
1011,冗,,冖,4,S,1,superfluous,,,ジョウ,jou
1012,条,條,木,7,5,2,clause,,,ジョウ,jou
1013,状,狀,犬,7,5,3,form,,,ジョウ,jou
1014,乗,乘,丿,9,3,3,ride,"の-る, の-せる"," no-ru,  no-seru",ジョウ,jou
1015,城,,土,9,4,2,castle,しろ, shiro,ジョウ,jou
1016,浄,淨,水,9,S,1,clean,,,ジョウ,jou
1017,剰,剩,刀,11,S,1,surplus,,,ジョウ,jou
1018,常,,巾,11,5,3,normal,"つね, とこ"," tsune,  toko",ジョウ,jou
1019,情,,心,11,5,3,feelings,なさ-け, nasa-ke,"ジョウ, （セイ）","jou,  (sei)"
1020,場,,土,12,2,4,place,ば, ba,ジョウ,jou
1021,畳,疊,田,12,S,2,tatami mat,"たた-む, たたみ"," tata-mu,  tatami",ジョウ,jou
1022,蒸,,艸,13,6,2,steam,"む-す, む-れる, む-らす"," mu-su,  mu-reru,  mu-rasu",ジョウ,jou
1023,縄,繩,糸,15,4,1,straw rope,なわ, nawa,ジョウ,jou
1024,壌,壤,土,16,S,1,lot,,,ジョウ,jou
1025,嬢,孃,女,16,S,1,lass,,,ジョウ,jou
1026,錠,,金,16,S,1,lock,,,ジョウ,jou
1027,譲,讓,言,20,S,1,defer,ゆず-る, yuzu-ru,ジョウ,jou
1028,醸,釀,酉,20,S,1,brew,かも-す, kamo-su,ジョウ,jou
1029,色,,色,6,2,4,color,いろ, iro,"ショク, シキ","shoku,  shiki"
1030,拭,,手,9,S,0,wipe,"ふ-く, ぬぐ-う"," fu-ku,  nugu-u",ショク,shoku
1031,食,,食,9,2,5,"eat, meal","く-う, く-らう, た-べる"," ku-u,  ku-rau,  ta-beru","ショク, （ジキ）","shoku,  (jiki)"
1032,植,,木,12,3,2,plant,"う-える, う-わる"," u-eru,  u-waru",ショク,shoku
1033,殖,,歹,12,S,1,augment,"ふ-える, ふ-やす"," fu-eru,  fu-yasu",ショク,shoku
1034,飾,,食,13,S,1,decorate,かざ-る, kaza-ru,ショク,shoku
1035,触,觸,角,13,S,2,contact,"ふ-れる, さわ-る"," fu-reru,  sawa-ru",ショク,shoku
1036,嘱,囑,口,15,S,1,entrust,,,ショク,shoku
1037,織,,糸,18,5,1,weave,お-る, o-ru,"ショク, シキ","shoku,  shiki"
1038,職,,耳,18,5,3,employment,,,ショク,shoku
1039,辱,,辰,10,S,1,embarrass,はずかし-める, hazukashi-meru,ジョク,joku
1040,尻,,尸,5,S,0,buttocks,しり,shiri,,
1041,心,,心,4,2,4,heart,こころ, kokoro,シン,shin
1042,申,,田,5,3,3,say,もう-す, mou-su,シン,shin
1043,伸,,人,7,S,2,lengthen,"の-びる, の-ばす, の-べる"," no-biru,  no-basu,  no-beru",シン,shin
1044,臣,,臣,7,4,2,retainer,,,"シン, ジン","shin,  jin"
1045,芯,,艸,7,S,0,core,,,シン,shin
1046,身,,身,7,3,3,body,み, mi,シン,shin
1047,辛,,辛,7,S,2,spicy,から-い, kara-i,シン,shin
1048,侵,,人,9,S,1,encroach,おか-す, oka-su,シン,shin
1049,信,,人,9,4,3,trust,,,シン,shin
1050,津,,水,9,S,1,haven,つ, tsu,シン,shin
1051,神,神,示,9,3,3,god,"かみ, （かん）, （こう）"," kami,  (kan),  (kou)","シン, ジン","shin,  jin"
1052,唇,,口,10,S,1,lips,くちびる, kuchibiru,シン,shin
1053,娠,,女,10,S,1,with child,,,シン,shin
1054,振,,手,10,S,1,shake,"ふ-る, ふ-るう, ふ-れる"," fu-ru,  fu-ruu,  fu-reru",シン,shin
1055,浸,,水,10,S,1,immersed,"ひた-す, ひた-る"," hita-su,  hita-ru",シン,shin
1056,真,眞,目,10,3,4,true,ま, ma,シン,shin
1057,針,,金,10,6,2,needle,はり, hari,シン,shin
1058,深,,水,11,3,3,deep,"ふか-い, ふか-まる, ふか-める"," fuka-i,  fuka-maru,  fuka-meru",シン,shin
1059,紳,,糸,11,S,1,sire,,,シン,shin
1060,進,,辵,11,3,3,advance,"すす-む, すす-める"," susu-mu,  susu-meru",シン,shin
1061,森,,木,12,1,3,forest,もり, mori,シン,shin
1062,診,,言,12,S,1,checkup,み-る, mi-ru,シン,shin
1063,寝,寢,宀,13,S,3,lie down,"ね-る, ね-かす"," ne-ru,  ne-kasu",シン,shin
1064,慎,愼,心,13,S,1,humility,つつし-む, tsutsushi-mu,シン,shin
1065,新,,斤,13,2,4,new,"あたら-しい, あら-た, にい"," atara-shii,  ara-ta,  nii",シン,shin
1066,審,,宀,15,S,1,examine,,,シン,shin
1067,震,,雨,15,S,2,quake,"ふる-う, ふる-える"," furu-u,  furu-eru",シン,shin
1068,薪,,艸,16,S,1,fuel,たきぎ, takigi,シン,shin
1069,親,,見,16,2,4,parent,"おや, した-しい, した-しむ"," oya,  shita-shii,  shita-shimu",シン,shin
1070,人,,人,2,1,5,person,ひと, hito,"ジン, ニン","jin,  nin"
1071,刃,,刀,3,S,1,blade,は, ha,ジン,jin
1072,仁,,人,4,6,1,humanity,,,"ジン, （ニ）","jin,  (ni)"
1073,尽,盡,皿,6,S,1,exhaust,"つ-くす, つ-きる, つ-かす"," tsu-kusu,  tsu-kiru,  tsu-kasu",ジン,jin
1074,迅,,辵,6,S,1,swift,,,ジン,jin
1075,甚,,甘,9,S,1,tremendously,"はなは-だ, はなは-だしい"," hanaha-da,  hanaha-dashii",ジン,jin
1076,陣,,阜,10,S,1,camp,,,ジン,jin
1077,尋,,寸,12,S,1,inquire,たず-ねる, tazu-neru,ジン,jin
1078,腎,,肉,13,S,0,kidney,,,ジン,jin
1079,須,,頁,12,S,1,by all means,,,ス,su
1080,図,圖,囗,7,2,4,diagram,はか-る, haka-ru,"ズ, ト","zu,  to"
1081,水,,水,4,1,5,water,みず, mizu,スイ,sui
1082,吹,,口,7,S,3,blow,ふ-く, fu-ku,スイ,sui
