id,Kanji,Old Kanji,Radical,Strokes,Grade,JLPT,Meanings,Kun yomi,Kun romaji,On yomi,On romaji
113,殴,毆,殳,8,S,1,assault,なぐ-る, nagu-ru,オウ,ou
114,桜,櫻,木,10,5,1,cherry tree,さくら, sakura,オウ,ou
115,翁,,羽,10,S,1,venerable old man,,,オウ,ou
116,奥,奧,大,12,S,2,heart,おく, oku,オウ,ou
117,横,橫,木,15,3,3,side,よこ, yoko,オウ,ou
118,岡,,山,8,4,1,hill,（おか）,(oka),,
119,屋,,尸,9,3,4,roof,や, ya,オク,oku
120,億,,人,15,4,2,hundred million,,,オク,oku
121,憶,,心,16,S,1,recollection,,,オク,oku
122,臆,,肉,17,S,0,timidity,,,オク,oku
123,虞,,虍,13,S,1,uneasiness,おそれ,osore,,
124,乙,,乙,1,S,1,the latter,,,オツ,otsu
125,俺,,人,10,S,0,"I, we, myself",おれ,ore,,
126,卸,,卩,9,S,1,wholesale,"おろ-す, おろし","oro-su,  oroshi",,
127,音,,音,9,1,4,sound,"おと, ね"," oto,  ne","オン, イン","on,  in"
128,恩,,心,10,6,1,grace,,,オン,on
129,温,溫,水,12,3,2,warm,"あたた-か, あたた-かい, あたた-まる, あたた-める"," atata-ka,  atata-kai,  atata-maru,  atata-meru",オン,on
130,穏,穩,禾,16,S,1,calm,おだ-やか, oda-yaka,オン,on
131,下,,一,3,1,5,below,"した, しも, もと, さ-げる, さ-がる, くだ-る, くだ-す, くだ-さる, お-ろす, お-りる"," shita,  shimo,  moto,  sa-geru,  sa-garu,  kuda-ru,  kuda-su,  kuda-saru,  o-rosu,  o-riru","カ, ゲ","ka,  ge"
132,化,,匕,4,3,3,change,"ば-ける, ば-かす"," ba-keru,  ba-kasu","カ, ケ","ka,  ke"
133,火,,火,4,1,5,fire,"ひ, （ほ）"," hi,  (ho)",カ,ka
134,加,,力,5,4,3,add,"くわ-える, くわ-わる"," kuwa-eru,  kuwa-waru",カ,ka
135,可,,口,5,5,3,possible,,,カ,ka
136,仮,假,人,6,5,2,temporary,かり, kari,"カ, （ケ）","ka,  (ke)"
137,何,,人,7,2,5,what,"なに, （なん）"," nani,  (nan)",カ,ka
138,花,,艸,7,1,4,flower,はな, hana,カ,ka
139,佳,,人,8,S,1,excellent,,,カ,ka
140,価,價,人,8,5,2,value,あたい, atai,カ,ka
141,果,,木,8,4,3,fruit,"は-たす, は-てる, は-て"," ha-tasu,  ha-teru,  ha-te",カ,ka
142,河,,水,8,5,2,river,かわ, kawa,カ,ka
143,苛,,艸,8,S,0,torment,,,カ,ka
144,科,,禾,9,2,3,section,,,カ,ka
145,架,,木,9,S,1,rack,"か-ける, か-かる"," ka-keru,  ka-karu",カ,ka
146,夏,,夊,10,2,4,summer,なつ, natsu,"カ, （ゲ）","ka,  (ge)"
147,家,,宀,10,2,4,house,"いえ, や"," ie,  ya","カ, ケ","ka,  ke"
148,荷,,艸,10,3,2,luggage,に, ni,カ,ka
149,華,,艸,10,S,1,splendor,はな, hana,"カ, （ケ）","ka,  (ke)"
150,菓,,艸,11,S,2,confectionery,,,カ,ka
151,貨,,貝,11,4,2,freight,,,カ,ka
152,渦,,水,12,S,1,whirlpool,うず, uzu,カ,ka
153,過,,辵,12,5,3,go beyond,"す-ぎる, す-ごす, あやま-つ, あやま-ち"," su-giru,  su-gosu,  ayama-tsu,  ayama-chi",カ,ka
154,嫁,,女,13,S,1,marry into,"よめ, とつ-ぐ"," yome,  totsu-gu",カ,ka
155,暇,,日,13,S,1,spare time,ひま, hima,カ,ka
156,禍,禍,示,13,S,1,calamity,,,カ,ka
157,靴,,革,13,S,3,shoes,くつ, kutsu,カ,ka
158,寡,,宀,14,S,1,widow,,,カ,ka
159,歌,,欠,14,2,4,song,"うた, うた-う"," uta,  uta-u",カ,ka
160,箇,,竹,14,S,1,counters for things,,,カ,ka
161,稼,,禾,15,S,1,earnings,かせ-ぐ, kase-gu,カ,ka
162,課,,言,15,4,2,section,,,カ,ka
163,蚊,,虫,10,S,1,mosquito,か,ka,,
164,牙,,牙,4,S,0,tusk,きば, kiba,"ガ, （ゲ）","ga,  (ge)"
165,瓦,,瓦,5,S,0,tile,かわら, kawara,ガ,ga
166,我,,戈,7,6,1,"ego, I, we","われ, わ"," ware,  wa",ガ,ga
167,画,畫,田,8,2,4,tableau,,,"ガ, カク","ga,  kaku"
168,芽,,艸,8,4,1,bud,め, me,ガ,ga
169,賀,,貝,12,4,1,congratulations,,,ガ,ga
170,雅,,隹,13,S,1,gracious,,,ガ,ga
171,餓,,食,15,S,1,starve,,,ガ,ga
172,介,,人,4,S,2,jammed in,,,カイ,kai
173,回,,囗,6,2,3,times,"まわ-る, まわ-す"," mawa-ru,  mawa-su","カイ, （エ）","kai,  (e)"
174,灰,,火,6,6,2,ashes,はい, hai,カイ,kai
175,会,會,曰,6,2,4,association,あ-う, a-u,"カイ, エ","kai,  e"
176,快,,心,7,5,2,cheerful,こころよ-い, kokoroyo-i,カイ,kai
177,戒,,戈,7,S,1,commandment,いまし-める, imashi-meru,カイ,kai
178,改,,攴,7,4,2,reformation,"あらた-める, あらた-まる"," arata-meru,  arata-maru",カイ,kai
179,怪,,心,8,S,1,suspicious,"あや-しい, あや-しむ"," aya-shii,  aya-shimu",カイ,kai
180,拐,,手,8,S,1,kidnap,,,カイ,kai
181,悔,悔,心,9,S,1,repent,"く-いる, く-やむ, くや-しい"," ku-iru,  ku-yamu,  kuya-shii",カイ,kai
182,海,海,水,9,2,4,sea,うみ, umi,カイ,kai
183,界,,田,9,3,4,world,,,カイ,kai
184,皆,,白,9,S,3,all,みな, mina,カイ,kai
185,械,,木,11,4,2,contraption,,,カイ,kai
186,絵,繪,糸,12,2,3,picture,,,"カイ, エ","kai,  e"
187,開,,門,12,3,4,open,"ひら-く, ひら-ける, あ-く, あ-ける"," hira-ku,  hira-keru,  a-ku,  a-keru",カイ,kai
188,階,,阜,12,3,2,floor of a building,,,カイ,kai
189,塊,,土,13,S,1,clod,かたまり, katamari,カイ,kai
190,楷,,木,13,S,0,square character style,,,カイ,kai
191,解,,角,13,5,3,untie,"と-く, と-かす, と-ける"," to-ku,  to-kasu,  to-keru","カイ, ゲ","kai,  ge"
192,潰,,水,15,S,0,crush,"つぶ-す, つぶ-れる"," tsubu-su,  tsubu-reru",カイ,kai
193,壊,壞,土,16,S,1,demolition,"こわ-す, こわ-れる"," kowa-su,  kowa-reru",カイ,kai
194,懐,懷,心,16,S,1,pocket,"ふところ, なつ-かしい, なつ-かしむ, なつ-く, なつ-ける"," futokoro,  natsu-kashii,  natsu-kashimu,  natsu-ku,  natsu-keru",カイ,kai
195,諧,,言,16,S,0,harmony,,,カイ,kai
196,貝,,貝,7,1,2,shellfish,かい,kai,,
197,外,,夕,5,2,5,outside,"そと, ほか, はず-す, はず-れる"," soto,  hoka,  hazu-su,  hazu-reru","ガイ, ゲ","gai,  ge"
198,劾,,力,8,S,1,censure,,,ガイ,gai
199,害,,宀,10,4,3,harm,,,ガイ,gai
200,崖,,山,11,S,0,cliff,がけ, gake,ガイ,gai
201,涯,,水,11,S,1,horizon,,,ガイ,gai
202,街,,行,12,4,1,street,まち, machi,"ガイ, （カイ）","gai,  (kai)"
203,慨,慨,心,13,S,1,rue,,,ガイ,gai
204,蓋,,艸,13,S,0,cover,ふた, futa,ガイ,gai
205,該,,言,13,S,1,above-stated,,,ガイ,gai
206,概,槪,木,14,S,1,outline,,,ガイ,gai
207,骸,,骨,16,S,0,dead remains,,,ガイ,gai
208,垣,,土,9,S,1,hedge,かき,kaki,,
209,柿,,木,9,S,0,persimmon,かき,kaki,,
210,各,,口,6,4,2,each,おのおの, onoono,カク,kaku
211,角,,角,7,2,2,angle,"かど, つの"," kado,  tsuno",カク,kaku
212,拡,擴,手,8,6,2,broaden,,,カク,kaku
213,革,,革,9,6,2,leather,かわ, kawa,カク,kaku
214,格,,木,10,5,3,status,,,"カク, （コウ）","kaku,  (kou)"
215,核,,木,10,S,1,nucleus,,,カク,kaku
216,殻,殼,殳,11,S,1,husk,から, kara,カク,kaku
217,郭,,邑,11,S,1,enclosure,,,カク,kaku
218,覚,覺,見,12,4,3,memorize,"おぼ-える, さ-ます, さ-める"," obo-eru,  sa-masu,  sa-meru",カク,kaku
219,較,,車,13,S,2,contrast,,,カク,kaku
220,隔,,阜,13,S,1,isolate,"へだ-てる, へだ-たる"," heda-teru,  heda-taru",カク,kaku
221,閣,,門,14,6,1,tall,,,カク,kaku
222,確,,石,15,5,3,certain,"たし-か, たし-かめる"," tashi-ka,  tashi-kameru",カク,kaku
